tigal,tech,Tech pt,Description en,Descrição pt,Proximus,Photo URL,photo,review,Money,C-EdTech,C-Google,C-2015,Telecom
,Mobile Bandwidth on demand,,A cloud-based bandwidth marketplace that varies the wifi price in real time according to offer and demand. ,,ok,,,,,,,,ok
,driving assistant,,Gathers and reviews data from anywhere in order to discover ways to make better decisions about driving habits.,,ok,,,,,,,,ok
,intelligent doorbell,,"Doorbells that, by using mechanisms such as facial recognition and bluetooth of a smartphone, unlock doors without the need of keys.",,ok,,,,,,,,ok
,TV's search application,,"Platform that captures every word spoken on television, processing the data in real-time, to create a new discovery layer for live TV.",,ok,,,,,,,,ok
,Smart home security,,Adapts to the house over time and sends intelligent notifications with HD video directly to your smartphone. ,,ok,,,,,,,,
,peer-to-peer file synchronization,,"Sync files between devices on a local network, or between remote devices over the Internet via secure, distributed P2P technology.",,ok,,,,,,,,ok
,Real-time polymorphism,,"Advanced security defense that allows to protect the user interface layer of your website — where HTML, CSS, and JavaScript are transmitted — comprehensively and transparently, in a way that deflects attacks while not introducing friction for real users.",,ok,,,,,,,,ok
,"
CONTACTLESS PAYMENTS",,"Near field communication (NFC), location and scanning technologies on smartphones are powering contactless in-store transactions. This streamlines payment systems, reduces infrastructure and lowers costs.",,,http://images.gizmag.com/hero/8125_41007110345.jpg,,,ok,,,,
,software analytics ,,Make educated business decisions about the software store ecosystem.,,ok,,,,,,,,ok
,Platform as a service,,,,ok,,,,,,,,ok
,Secure Apps,,Add new security policies to existing mobile apps with a point-and-click interface.,,ok,,,,,,,,ok
, social media analytics,,Social media analytics is the practice of gathering data from blogs and social media websites and analyzing that data to make business decisions. The most common use of social media analytics is to mine customer sentiment.,,ok,,,,,,,,ok
,3D displays,Displays 3D,Displays that appear to have depth.,Também conhecidas como displays estéreo. Transmitem a percepção de profundidade através de visão binocular ou então compensando imagens para os olhos direito e esquerdo.,,http://s3files.core77.com/blog/images/2012/03/0holbookmsag.jpg,ok,ok,,ok,,,
,3D motion and depth sensing,Movimento 3D E Sensor De Profundidade,"Customized hardware and software designed to track the full 3D motion of the device, while simultaneously creating a map of the environment. These sensors allow devices to know where they are and what they're looking at.","Hardware customizado e software desenhado para rastrear todo o movimento 3D de dispositivos, enquanto simultaneamente cria um mapa do ambiente ao redor. Esses sensores permitem que aparelhos saibam onde eles estão localizados e o para o que eles estão olhando.",,,ok,ok,,,,,
,3D printed prosthetics,Impressão 3D De Próteses,Bespoke 3D printed prosthetics that allows for a greater level of comfort (fit) and a much lower price.,Próteses impressas em 3D feitas sob medida. Permite um maior nível de conforto e preço muito mais baixo.,,https://trello-attachments.s3.amazonaws.com/54611f14e4c46f7755d03a4a/1732x1200/3e274779a507fd0a60e03e8459a3617f/Screen_Shot_2014-11-10_at_6.21.23_PM.png,ok,ok,,,,,
,3GPP,,"Network improvements for device to device communication, Also identify requirements and optimize radio and network for features such as low power, congestion and overload control, identifiers, addressing, subscription control and security.",,,http://www.gamesaktuell.de/screenshots/1280x1024/2011/02/NFC.jpg,,,,,,,ok
,4D printing,Impressão 4D,"The manufacture of end-use products using additive manufacturing techniques and materials that are able to change and mutate over time when exposed to water, temperature changes and/or air to self assemble.","Fabricação de produtos usando técnicas de produção e materiais que podem mutar com o tempo quando expostos a água, mudanças de temperatura e/ou ar.",,http://www.sjet.us/PROJECTS/MIT_4D%20PRINTING/Stratasys_MIT_Cubefolding_Combined.jpg,ok,ok,,ok,1,,
,4K displays,Telas 4K,An emerging standard for resolution in digital film and computer graphics with approximately four times of a full HD image.,Uma resolução padrão emergente em vídeos digitais e computação gráfica com aproximadamente 4x a resolução de uma imagem full HD.,,,ok,ok,,,,,
,5G mobile network,5G,Pervasive networks providing ubiquitous computing. The user can simultaneously be connected to several wireless access technologies and seamlessly move between them.,"Redes que proporcionam computação ubíqua. O usuário pode, simultaneamente, ser conectado a várias tecnologias de acesso sem fio e se mover entre elas sem problemas.",,http://spectrum.ieee.org/img/Artemis_pCells_in_Times_Squareb-1392792855139.jpg,ok,ok,,,,,
,Active clothing,Roupas Ativas,"Robotic fabric embedded with sensors that has elasticity. It could enable robots that have sensory skin and ""g-suits"" for pilots or astronauts to counteract the effects of acceleration.",Tecido robótico integrado com sensores que possui elasticidade. Possibilita a criação de robôs com peles sensíveis e g-suits para pilotos e astronautas que diminuem o efeito da aceleração.,,,ok,ok,,,1,,
,Adaptable personalization,Personalização Adaptável,"Contextual services that learn shopper preferences over time, generating tailored results and anticipating future needs.","Serviços contextuais que aprendem os gostos do consumidor com o tempo, gerando resultados customizados e antecipando futuras necessidades.",,https://www.dropbox.com/s/d6fqh9ikksmtarf/Adaptable%20Personalization.jpg?dl=1,ok,ok,ok,ok,,,
,Advanced concrete,Concreto De Segunda Geração,A new water-repellant concrete impregnated with tiny superstrong fibers promises to leave roads and bridges free of major cracks for up to 120 years.,Concreto hidrofóbico Impregnado com fibras fortíssimas que prometem evitar rachaduras em rodovias e pontes por mais de 120 anos.,,https://www.dropbox.com/s/fo1uc4rv7afen3d/Advanced%20Concrete.jpg?dl=1,ok,ok,,,,,
,Aerial wireless network,Redes Aéreas Wireless,Use drones or balloon-based designed to partly solve the problem of limited internet access across the globe.,Aumentam o acesso à internet em áreas remotas por meio de sistemas que utilizam balões ou drones.,,https://www.dropbox.com/s/3880vsiyt4w6yjs/Aerial%20Wireless%20Network.jpg?dl=1,ok,ok,,ok,,,
,Aerogel,Aerogel,"A synthetic porous ultralight material derived from a gel, in which the liquid component of the gel has been replaced with a gas. Potential applications include improved thermal insulation, chemical absorber for cleaning up spills, electrochemical supercapacitors and shock absorption.","Um material poroso ultraleve derivado de um gel, em que o componente líquido do gel foi substituído por um gás. As aplicações potenciais incluem a melhoria de isolamentos térmicos, absorção de produtos químicos para a limpeza de derramamentos, supercapacitores eletroquímicos e absorção de choque.",,http://upload.wikimedia.org/wikipedia/commons/2/2c/Aerogel_hand.jpg,ok,ok,,,,,
,Aerial monitoring drones,,"Drones adoption is shifting from fun purposes to productive applications like farming. Current prototypes can monitor crop conditions and test soil quality. Result data is used to adjust fertilizer, water and other chemicals distribution.",,,https://trello-attachments.s3.amazonaws.com/5446c54eb53b8d56e398e44a/630x384/4944a379c81bfca5be2a95e951f1ab09/draganflyer-x4-es.jpg,,,,,,,
,Agricultural drones,Drones Agrícolas,Relatively cheap drones with advanced sensors and imaging capabilities are giving farmers new ways to increase yields and reduce crop damage.,"Com sensores avançados e recursos de imagem, drones relativamente baratos melhoram o uso da água, a contenção de pragas e a avaliação das condições da safra.",,https://www.dropbox.com/s/6a9cvayulc7mmx5/Agricultural%20Drones.jpg?dl=1,ok,ok,,,,,
,Agricultural robots,Robôs Agricultores,"Also known as agbots, these are used to automate agricultural processes, such as harvesting, fruit picking, ploughing, soil mainte- nance, weeding, planting, irrigation, etc","Usados para automatizar processos agrícolas, como colheita de frutas, manutenção do solo, plantação, irrigação, etc.",,https://www.asme.org/getmedia/7a42177c-c4f5-4b2c-b77b-0e3ff8675fcb/Small-Robots-for-Picking-Fruit_hero.jpg.aspx,ok,ok,,,,,
,Air & soil sensors,Sensores Terrestres E Aéreos,"Fundamental additions to the automated farm, these sensors would enable a real time understanding of current farm, forest or body of water conditions.","Possibilitam agricultura de precisão ao fornecerer informações em tempo real sobre as condições de uma fazenda, uma floresta ou um aquífero.",,http://infotechlead.com/wp-content/uploads/2014/05/Orange-Business-in-M2M-deal-with-Dacom-to-improve-farm-yield-optimization.jpg,ok,ok,,,,,
,Airbags for cyclists,Airbags Para Ciclistas,Designed like a hood and made in an ultra-strong nylon fabric that won’t rip when scraped against the ground. It covers a much larger area than a traditional cycle helmet and provides extremely soft and gentle shock absorption.,,,https://www.dropbox.com/s/ddgv8ydpml86gp9/Airbags%20for%20cyclists.jpg?dl=1,ok,,,,,,
,Annotated-reality glasses,Óculos De Realidade Anotada,"Like Google Glass, these technologies add a layer of information on top of reality without replacing the underlying objects. Not to be confused with Agumented Reality, which is able to simulate virtual objects for the user.","Como o Google Glass, essas tecnologias adicionam uma camada de informação no topo sem substituir os objetos que ficam abaixo. Não confundir com a realidade aumentada (RA) onde são simulados objetos virtuais.",,http://38.media.tumblr.com/6a2821168ad8728bb27fe8f2f042403f/tumblr_ndc39pozY51qcq6s5o1_1280.jpg,ok,ok,,,,,
,Anonymizing technologies,Tecnologias Para Anonimato,Anonymous technology conceals an Internet user’s IP address from the server hosting the website visited by the user.,Tecnologias que escondem o endereço de IP e inibem a identificação do usuário e sua localização.,,http://test.neomedia.info/wp-content/uploads/2013/08/102.jpg,ok,,ok,ok,,,
,Anti-aging drugs,Drogas Anti-Idade,Refers to attempts to slow down or reverse the processes of aging to extend both the maximum and average lifespan. Is also known as antiaging medicine or life extension.,Referem-se à tentativa de diminuir o passo ou reverter os processos de envelhecimento para extender tanto a expectativa de vida máxima ou média.,,https://www.dropbox.com/s/w6prgduzehnify9/Anti-aging%20drugs.jpg?dl=1,ok,ok,,,1,,
,API,,"Application programming interface (API) is a set of routines, protocols, and tools for building software applications.",,ok,,,,,,,,ok
,APM,,Application Performance Management  (APM) is the monitoring and management of performance and availability of software applications. ,,ok,,,,,,,,ok
,Artificial intelligence,,A system that perceives its environment and takes actions that maximize its chances of success.,,ok,,,,,,,,ok
,Artificial neural network,Redes Neurais Artificiais,Are computational systems that are inspired by the neural connections in the brains of animals. This process leads to an effective form of machine learning that does not require a human operator or supervisor.,São sistemas computacionais que são inspirados nas conexões neurais do cérebro dos animais. Esse processo leva a uma forma eficaz de aprendizado para máquinas que não necessita de um operador humano ou supervisor.,,https://www.dropbox.com/s/7kykctrf7ur39dt/Artificial%20Neural%20Networks.jpg?dl=1,ok,,,,,,
,Artificial organs,Órgãos Artificiais,Man-made device that is implanted or integrated into a human to replace a natural organ.,Restauram uma função específica ou um grupo de funções do corpo ao substituírem um órgão por um aparelho artificial.,,http://kes.wimp.com/images/thumbs/2011/03/55c149cf4cb76ff95419506c512dafb8_organ_1316_866.jpg,ok,ok,,,,,
,Artificial photosynthesis,Fotossíntese Artificial,"A renewable, carbon-neutral source of fuel, producing either hydrogen, or carbohydrates. This sets it apart from the other popular renewable energy sources, which produce electricity directly, with no fuel intermediate.","Reproduz o processo natural de fotossíntese ao captar a luz do Sol e separar moléculas em carboidratos, oxigênio e hidrogênio – fontes de energia. Pode tornar-se uma fonte de combustível para diversos meios de transporte.",,https://www.dropbox.com/s/260fkt2rtvw1rrf/Artificial%20Photosynthesis.jpg?dl=1,ok,ok,,,,,
,Artificial retinas,Retinas Artificiais,"Give the blind the barest sense of what’s visible, but potentially can allow blind patients to see over human average capabilities.","Ao reporem a perda de fotorreceptores com câmeras ou diodos sensíveis à luz conectados a um chip, novas retinas restauram formas e luzes para os cegos.",,https://www.dropbox.com/s/f80xu7hzcwwxbas/Artificial%20retinas.jpg?dl=1,ok,ok,,,,,
,Artificial wombs,Úteros Artificiais,A way to save premature babies and helping women unable to conceive and gestate.,Uma maneira de salvar bebês prematuros e ajudar mulheres que não podem conceber ou gestacionar. ,,https://www.dropbox.com/s/j0lhb3151irav0i/Artificial%20Wombs.jpg?dl=1,ok,ok,,,,,
,Asteroid mining,Mineração De Asteróides,"The exploitation of raw materials from asteroids and other minor planets. Materials that could be mined or extracted include iron, nickel, titanium for construction and oxygen to sustain the lives of prospector-astronauts on site.","A exploração de materiais brutos de asteróides e outros pequenos planetas. Materiais que podem ser extraidos incluiem: ferro, níquel, titâneo (para construção) e oxigênio para suprir astronautas in loco.",,https://www.dropbox.com/s/ei5yw7zt63tmn4p/Asteroid%20mining.jpg?dl=1,ok,ok,,,1,,
,Attention economy,Economias De Atenção,"When attention is paid, spent, given, taken – or transacted – it becomes influence, which then develops as capital.","Com a ascensão da internet, a atenção tem-se tornado um recurso limitado. Quando ela é paga, gasta, doada, tomada ou negociada, torna-se influência, evoluindo como capital e sistema econômico.",,https://www.dropbox.com/s/pbipfsvdjyy1qa4/ECONOMIAS%20DE%20ATEN%C3%87%C3%83O.jpg?dl=1,ok,ok,ok,ok,1,,
,Augmented reality,Realidade Aumentada,"A live view of real-world environment whose elements are augmented by computer-generated sensory input such as sound, video, metadata or graphics.","Visualizações em tempo real do ambiente físico com elementos expandidos gerados por computador, como sons, vídeos, metadados ou gráficos.",,https://www.dropbox.com/s/tavaejbn06oiw3d/Augmented%20Reality.jpg?dl=1,ok,ok,,ok,,,ok
,Augmented reality eyewear,,"AR is essentially the layering of further data on top of the reality we already see. This will be able to provide an immersive experience, and create a richer media",,,https://www.dropbox.com/s/xibfwn6hsx3w3we/Eyewear-embedded%20screens.jpg?dl=1,,,,ok,,,
,Autofocusing Lens,Lentes De Autofoco,"Allows wearers to see more clearly where they would otherwise struggle to focus. The lenses are equipped with non-invasive sensors, microchips and other miniaturized electronics.","Permite que os usuários vejam mais claramente onde eles normalmente teriam dificuldade de enxergar. As lentes são equipadas com sensores não invasivos, microchips e outros eletrônicos minituriarizados.",,https://trello-attachments.s3.amazonaws.com/5464cbbdc96a195911d2a951/1364x948/6b85af0b9481531cfdb9fe2f129bc7a1/Screen_Shot_2014-11-13_at_1.17.34_PM.png,ok,ok,,,,,
,Automated dressing rooms,Provadores Automatizados,"When it entering a dressing room, a robotic compartment deliveries the chosen items in the store. As a payment system, a handheld mobile systems can be used, improving the efficiency of purchase.","Quando se entra nos provadores, um compartimento robótico entrega os itens escolhidos na loja. Como sistema de pagamento, pode-se utilizar sistemas móveis portáteis dentro do próprio provador melhorando a eficiência da compra.",,https://www.dropbox.com/s/08tzba4w9i74ekw/Automated%20Dressing%20Rooms.jpg?dl=1,ok,ok,,,,,
,Automated home,Casa Automatizada,"Part of the Internet of Things trend, it is a house where all the devices and systems talk to each, coordinating their functions.","Parte da tendência da internet das coisas, é uma casa onde todos os dispositivos e sistemas conversam entre si, coordenando suas funções.",ok,https://www.dropbox.com/s/ymzptb6p4w2gw53/Automated%20Home.jpg?dl=1,ok,ok,,ok,,,ok
,Automated inventory,Inventário Automatizado,Human resources and product inventory controlled by artificial intelligence systems.,Inventário de produtos e recursos humanos controlado por sistemas de inteligência artificial.,,https://www.dropbox.com/s/2ltuzdg8erdjfb3/Automated%20Inventory.jpg?dl=1,ok,ok,,,,,
,Automated Milking Systems,,"Cows' habits can be mapped using transponders and online analysis creating an efficient milking process. Robots can automatically detect the best milking hours based on individualized data. Metrics like the milk’s quality, frequency of visits to the machine, eating patterns and even steps can be tracked.",,,https://trello-attachments.s3.amazonaws.com/5446c5e9f916d310cb816961/1050x591/33981deb7bf70e689da0bd06bf2d2c2f/milkbots-videoSixteenByNine1050-v2.jpg,,,,,,,
,Automated mini factories,Mini Fábricas Automatizadas,"Automated micro-factories can spin out a virtual order in just 30 minutes, and are small enough to fit in the back of a retail store.",Manufaturam um pedido feito virtualmente em apenas 30 minutos e são pequenas o suficientes para caberem nos fundos de uma loja de varejo.,,https://www.dropbox.com/s/0c9igxvrr26f0ny/Automated%20Mini-Factories.jpeg?dl=1,ok,,,,,,
,Automated underground bike parking, Estacionamentos Subterrâneos Automatizados Para Bicicletas,"Individual cylindrical shaped structures below the street surface, where a mechanically operated carrier lifts and organises bikes into any of the open stalls. The design utilizes a staggered arrangement with loading pallets that maximize the amount of storage with a minimal spatial footprint.","Estruturas individuais cilíndricas abaixo da superfície da rua, onde elevadores mecânico fazem a organização das bicicletas entre as vagas disponíveis. O design considera uma estrutura de paletes para maximizar o volume de armazenamento e minimizar o espaço necessário.",,https://www.dropbox.com/s/46n18a2yabs205z/Automated%20underground%20bike%20parking.jpg?dl=1,ok,ok,,,,,
,Business technology management,,"Group of services intended to help businesses that might not have their own information technology department. Can include technology planning, project management, database services, security, and document services such as e-billing and mass printing.",,ok,,,,,,,,ok
,Advertising Software,,"Enables agencies and media companies to easily create video ads that run anywhere and works on any screen as well as automating the process of selling, trafficking and billing digital inventory.",,ok,,,,,,,,ok
,Cosmetic Stickers ,,"Stretchable, skin-friendly cosmetic stickers gives control of beauty regimen. They can alert via phone when it’s time to reapply sunscreen and even measur skin’s properties while sleepping to recommending the perfect moisturizer.",,ok,,,,,,,,ok
,Autonomous cars,Carros Autônomos,Vehicles capable of sensing its environment and navigating on their own.,"Veículos capazes de navegar em piloto automático podem melhorar significativamente a segurança, evitando erros humanos. ",ok,https://www.dropbox.com/s/ta43o0t7mo8qrx7/Autonomous%20cars.jpg?dl=1,ok,ok,,,,,ok
,Banking APIs,,"Specifies software interactions online, and in banking, allows third-party applications to connect to the consumer’s account.",,,http://blogs.sap.com/innovation/files/2014/07/cD03YjY1MzBhYmUyOThiMDA2ZjFmMDYwNjAzZWVmNDUwNSZnPWE1N2Y1ZjAwYzhjNzY5ZjYwMGFjYTRlMjQ4MDM2N2I0.jpg,,,ok,,,,
,storage intelligence,,"Actively collect, consolidate, analyze and present critical information about the success data storage operations. Allows a more reliable and efficient evaluation on how well backup procedures and data storage operations are complying with enterprise policies.",,ok,,,,,,,,ok
,Data analysis,,"Process of inspecting, cleaning, transforming, and modeling data with the goal of discovering useful information, suggesting conclusions, and supporting decision-making.",,ok,,,,,,,,ok
,Big data intelligence,Big Data,"Databases that proactively make decisions and meta-decisions about how to process, capture and store data by analysing it's content.","Programas e sistemas de armazenamento de dados que, proativamente, tomam decisões e metadecisões sobre como processar, capturar e armazenar dados por meio da análise do seu conteúdo.",ok,https://www.dropbox.com/s/iw1a5zjihukrjhm/Big%20data%20intelligence.jpg?dl=1,ok,ok,,,,,ok
,Big data skin patches,Adesivos De Pele Big Data,Track vital and biometric signs to administer medication just when its needed.,"Biossensores adesivos que agem como um sistema de feedback digital de saúde, monitorando sinais vitais e fornecendo dados para decisões médicas mais precisas.",,https://www.dropbox.com/s/u874nkq74jqdtuy/Big%20Data%20Skin%20Patches.jpg?dl=1,ok,ok,,,1,,
,Bike-to-bike communication,,"If a bike is stolen, the network interacts to locate it. When the missing bike is brought near another, an app-based notification is sent to the original owner.","Se a bicicleta é roubada, a rede interage para localizá-la. Quando a bicicleta roubada esta perto de uma outra bicicleta, uma notificação é enviada para o proprietário original.",,https://www.dropbox.com/s/cub271cz0638mrc/Bike-to-bike%20communication.jpg?dl=1,ok,ok,,,,,
,Biobots,Biobots,"Biological machines that may aid in drug delivery, surgical robotics, ‘smart’ implants, or mobile environmental analyzers, among countless other applications.","Máquinas biológicas que podem ser usadas para administração de medicamentos, cirurgias, implantes inteligentes, análises remotas do ambiente entre outras inúmeras aplicações.",,https://www.dropbox.com/s/xiv4aacqvo1ug0w/Biobots.jpg?dl=0,ok,,,,,,
,Biofeedback clothing,Roupas De Feedback,Clothes that respond by integrating technology into apparel to make everything that goes on your body smarter.,Roupas responsivas que integram tecnologia à vestimenta para fazer com que tudo no corpo seja mais inteligente.,,https://www.dropbox.com/s/o3m5ui6buz24zai/Biofeedback%20clothing.jpg?dl=1,ok,,,ok,,,
,Biohacking,Biohacking,"A techno-progressive cultural and intellectual movement which advocates for open access to genetic information and defends the potential of truly democratic technological development. Biohacking can also refer to managing one's own biology using a combination of medical, nutritional and electronic techniques. This may include the use of nootropics and/or cybernetic devices for recording biometric data.","Ao aproximar a biologia da ética hacker, é possível manipular a própria biologia utilizando uma combinação de técnicas medicinais, nutricionais e eletrônicas.",,https://www.dropbox.com/s/txclvvavbp185sa/Biohacking.jpg?dl=1,ok,ok,,,,,
,Biologically extended senses,Sentidos Biologicamente Aumentados,"The idea is based on the principle that the brain evolved to handle one construction of reality, yet now can overlay multiple local and remote experiences simultaneously, creating new cognitive perceptions. Biological senses can be enhanced and produced artificially, which adapt and transform to address different kinds of stimuli for specific purposes.","Sentidos biológicos podem ser melhorados e produzidos artificialmente, adaptando-se e se transformando para responder aos diferentes tipos de estímulo.",,https://www.dropbox.com/s/9lksjpyuz08imdo/Biologically%20extended%20senses.jpg?dl=1,ok,ok,,ok,,,
,Biomaterials,Biomaterials,"Derived either from nature or synthesized in the laboratory, biomaterials can be used to enhance or replace natural functions in the body.","Derivados tanto da natureza quanto de síntese em laboratório, eles podem ser usados para elevar ou substituir funções naturais do corpo. Já utilizados em pequena escala, têm o potencial de aprimorar o desenvolvimento de medicamentos, enxertos e transplantes.",,https://www.dropbox.com/s/imesidqsvx7qy9v/Biomaterials.jpg?dl=1,ok,ok,,,,,
